Mapper,Project,Challenge,Review Status,Total Review Tasks,Coverage %,Avg Review Time (seconds),Review Requested,Approved,Needs Revision,Approved w/Fixes,Contested,Fixed,Not_An_Issue,Already_Fixed,Too_Hard
tastrax,Data Quality Improvement,Crossing Building and Highway in Vanuatu,,27,,,27,0,0,0,0,26,0,1,0
tastrax,Data Quality Improvement,Crossing Building and Highway in Vanuatu,Requested,27,100,0,,,,,,26,0,1,0
mikko_tamura,Data Quality Improvement,Crossing Building and Highway in Vanuatu,,3,,,3,0,0,0,0,3,0,0,0
mikko_tamura,Data Quality Improvement,Crossing Building and Highway in Vanuatu,Requested,3,100,0,,,,,,3,0,0,0
sab27,Data Quality Improvement,Crossing Building and Highway in Vanuatu,,1,,,1,0,0,0,0,1,0,0,0
sab27,Data Quality Improvement,Crossing Building and Highway in Vanuatu,Requested,1,100,0,,,,,,1,0,0,0
SColchester,Data Quality Improvement,Crossing Building and Highway in Vanuatu,,3,,,3,0,0,0,0,3,0,0,0
SColchester,Data Quality Improvement,Crossing Building and Highway in Vanuatu,Requested,3,100,0,,,,,,3,0,0,0
Tablenine,Data Quality Improvement,Crossing Building and Highway in Vanuatu,,3,,,3,0,0,0,0,2,0,0,0
Tablenine,Data Quality Improvement,Crossing Building and Highway in Vanuatu,Requested,3,100,0,,,,,,2,0,0,0
